_id,plr_type,plr_median,plr_confidence_low,plr_confidence_high,length_years_rounded,power_dc,pv_climate_zone,technology1,technology2,type_mounting,tracking
92,sensor,-0.28,-1.32,0.92,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
93,sensor,-0.15,-1.21,0.78,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
94,sensor,-0.03,-1.16,0.74,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
95,sensor,0.13,-1.04,0.84,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
96,sensor,0.15,-1.06,0.8,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
97,sensor,-0.32,-1.07,0.58,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
98,sensor,-0.29,-1.15,0.86,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
99,sensor,0.08,-0.93,0.96,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
100,sensor,0.04,-1.11,0.85,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
101,sensor,0.05,-1.11,0.99,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
102,sensor,-0.24,-1.37,0.78,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
103,sensor,0.08,-1.22,0.99,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
104,sensor,0.14,-0.86,1.05,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
105,sensor,0.19,-1.37,0.82,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
106,sensor,0.01,-1.04,0.65,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
107,sensor,-0.14,-1.27,0.84,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
108,sensor,0.11,-1.01,0.9,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
109,sensor,-0.3,-1.39,0.78,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
110,sensor,-0.12,-0.91,1.01,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
111,sensor,0.09,-1.08,1.01,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
112,sensor,-0.21,-1.36,0.83,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
113,sensor,-0.12,-1.2,0.81,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
114,sensor,-0.45,-1.57,0.45,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
115,sensor,-0.07,-1.1,0.82,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
116,sensor,0.05,-1.11,0.97,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
117,sensor,-0.41,-1.33,0.5,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
118,sensor,0.36,-1.88,2.1,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
119,sensor,-0.16,-1.21,0.93,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
120,sensor,-0.06,-1,1.06,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
121,sensor,0.31,-0.58,1.31,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
122,sensor,-0.18,-1.43,0.71,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
123,sensor,-0.07,-0.95,0.67,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
124,sensor,-0.33,-1.16,0.85,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
125,sensor,-0.09,-1.36,0.86,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
126,sensor,-0.34,-1.42,0.68,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
127,sensor,-0.33,-1.19,0.52,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
128,sensor,-0.25,-1.14,0.57,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
129,sensor,-0.37,-1.41,0.78,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
130,sensor,-0.81,-1.67,0.26,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
131,sensor,-0.17,-1.26,0.81,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
132,sensor,-0.06,-1.36,0.83,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
133,sensor,-0.18,-1.37,0.66,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
134,sensor,0.08,-1.14,1,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
135,sensor,-0.01,-0.96,0.87,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
136,sensor,-0.1,-1.12,0.85,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
137,sensor,0.16,-1.27,0.97,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
138,sensor,-0.41,-1.33,0.57,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
139,sensor,-0.16,-1.41,0.5,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
140,sensor,-0.02,-1.06,0.74,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
141,sensor,-0.29,-1.27,0.78,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
